Crop,Support,DecisionTree_Precision,DecisionTree_Recall,DecisionTree_F1,RandomForest_Precision,RandomForest_Recall,RandomForest_F1,LogisticRegression_Precision,LogisticRegression_Recall,LogisticRegression_F1,XGBoost_Precision,XGBoost_Recall,XGBoost_F1,Ensemble_Precision,Ensemble_Recall,Ensemble_F1
banana,507,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,0.9893,1.0,1.0,1.0,1.0,1.0,1.0
barley,654,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.9801,0.9892,1.0,1.0,1.0,1.0,1.0,1.0
bittergourd,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9091,0.9524,1.0,1.0,1.0,1.0,1.0,1.0
blackgram,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1818,0.3077,1.0,1.0,1.0,1.0,1.0,1.0
blackpepper,119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bottlegourd,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brinjal,55,1.0,1.0,1.0,1.0,1.0,1.0,0.8929,0.9091,0.9009,1.0,1.0,1.0,1.0,1.0,1.0
cabbage,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8462,0.9167,1.0,1.0,1.0,1.0,1.0,1.0
cardamom,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cauliflower,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5217,0.6857,1.0,1.0,1.0,1.0,1.0,1.0
coriander,473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cotton,613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cucumber,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drumstick,17,1.0,1.0,1.0,1.0,1.0,1.0,0.8947,1.0,0.9444,1.0,1.0,1.0,1.0,1.0,1.0
garlic,415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
grapes,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
horsegram,545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jackfruit,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7778,0.875,1.0,1.0,1.0,1.0,1.0,1.0
jowar,1055,0.669,0.7166,0.692,0.6963,0.6455,0.6699,0.0,0.0,0.0,0.6804,0.581,0.6268,0.7438,0.5393,0.6253
jute,211,0.5931,0.5735,0.5831,0.6054,0.5308,0.5657,0.0,0.0,0.0,0.6148,0.3555,0.4505,0.6748,0.3934,0.497
ladyfinger,41,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8537,0.8642,1.0,1.0,1.0,1.0,1.0,1.0
maize,1976,1.0,1.0,1.0,1.0,1.0,1.0,0.9975,1.0,0.9987,1.0,1.0,1.0,1.0,1.0,1.0
mango,66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moong,1327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
onion,1047,1.0,1.0,1.0,1.0,1.0,1.0,0.9962,1.0,0.9981,1.0,1.0,1.0,1.0,1.0,1.0
orange,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
papaya,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821,0.991,1.0,1.0,1.0,1.0,1.0,1.0
pineapple,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
potato,1083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pumpkin,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
radish,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ragi,557,1.0,1.0,1.0,1.0,1.0,1.0,0.9946,0.9946,0.9946,1.0,1.0,1.0,1.0,1.0,1.0
rapeseed,1118,1.0,1.0,1.0,1.0,1.0,1.0,0.9946,0.9973,0.996,1.0,1.0,1.0,1.0,1.0,1.0
rice,2245,0.836,0.8107,0.8232,0.8109,0.8481,0.8291,0.6335,0.9817,0.7701,0.7749,0.8588,0.8147,0.7728,0.9029,0.8328
soyabean,442,1.0,1.0,1.0,1.0,1.0,1.0,0.991,1.0,0.9955,1.0,1.0,1.0,1.0,1.0,1.0
sunflower,737,1.0,1.0,1.0,1.0,1.0,1.0,0.9919,1.0,0.9959,1.0,1.0,1.0,1.0,1.0,1.0
sweetpotato,576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tomato,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
turmeric,528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wheat,1287,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.9984,0.9988,1.0,1.0,1.0,1.0,1.0,1.0
